chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,face_shape
113.18,90.0,125.22,1.54,2.54,2.79,1.41,0.56,0.55,0.12834482626535376,0.09127700105222755,0.08328764256249661,0.2322584301350723,0.14022180088659503,0.1179732912323653,0.07638448400827945,0.13025252385761005,0.02675000655329567,0.025767416642220133,0.032392326773705155,0.10090067231397354,Heart_face_shape
123.66,98.34,149.38,1.78,2.22,2.76,1.42,0.63,0.64,0.1364278565498363,0.09576752290946083,0.07685633038699761,0.21221326011855474,0.14317240074057738,0.12354286508166586,0.07795031583276714,0.1340694483801401,0.027445792413654854,0.02699154377603475,0.03191274191730575,0.07597937311888948,Heart_face_shape
124.9,102.26,143.26,1.71,2.17,2.66,1.39,0.63,0.64,0.13559225016869708,0.09727599884061382,0.07952281040669655,0.21136865262163465,0.1427952295064342,0.12236152851040998,0.07721591014080031,0.13386761980471337,0.029089690536603038,0.030372167493292218,0.031247830262208762,0.07483926303099636,Heart_face_shape
112.64,86.6,138.22,1.58,2.49,2.92,1.35,0.54,0.54,0.12883420381261645,0.09542337359322993,0.08135462774612537,0.2374860632696919,0.13806287959957078,0.11622269431024893,0.07465157427926894,0.12796458338924774,0.027642901754276156,0.030948987246500793,0.030327014414491427,0.08921208018686755,Heart_face_shape
121.62,101.0,138.78,1.71,2.37,2.98,1.36,0.57,0.57,0.13216911696002215,0.0972530094827034,0.07724915797524143,0.23052890481694946,0.1416103665404752,0.11813388430988538,0.07231062168342837,0.13074493823129468,0.028795761855214583,0.027243898026662734,0.03263943219334802,0.09697627587581038,Heart_face_shape
130.98,111.22,138.3,1.63,2.11,2.49,1.38,0.64,0.65,0.13605853611657964,0.09864328867806574,0.08355935502110806,0.2084344694537177,0.1430515359348464,0.1214391828896595,0.07545493922764648,0.13335869267837636,0.029601680848433135,0.02927662966346291,0.03178023593883889,0.06584572627086101,Heart_face_shape
122.56,97.94,139.66,1.7,2.24,2.68,1.42,0.61,0.63,0.1361989908590414,0.095874998656878,0.0803016156067059,0.2150980062894009,0.1419898669358457,0.12050089080806023,0.07788498494012784,0.13215064590394,0.027952125254330672,0.02792852984743877,0.031729944659506945,0.0720011445364998,Heart_face_shape
118.08,92.54,144.52,1.61,2.46,2.87,1.37,0.57,0.56,0.12877226769770764,0.09377074428356101,0.08010466303363556,0.23021257267829373,0.141593794509857,0.11845801415580291,0.07557027363513312,0.13151767000600903,0.027749354601362523,0.029599460189209028,0.029679603278643454,0.08848574069555151,Heart_face_shape
126.86,104.1,153.04,1.74,2.6,3.4,1.33,0.51,0.51,0.12822198770347246,0.09627615644411218,0.07354889792843448,0.2504035786968646,0.13690882763372342,0.11503777380109974,0.07199604463066667,0.12760673316162646,0.027933356866033442,0.02783686829838611,0.031402275563140965,0.12173657996327518,Heart_face_shape
115.56,94.82,135.64,1.63,2.44,2.93,1.36,0.57,0.56,0.12941118128773166,0.09501819905058484,0.07927799538884564,0.23225433299297243,0.14014697746959712,0.11881084631398811,0.07364080430094878,0.13143966319533143,0.027893072793026042,0.027723988150785046,0.03171119815553826,0.10026085621147096,Heart_face_shape
118.76,97.68,166.32,1.85,2.32,3.19,1.35,0.57,0.58,0.13327363491035185,0.09901874334228974,0.07196413234209457,0.22952291913219128,0.14127748148727898,0.11890966599873624,0.07532491841762191,0.13070850436943543,0.028415428543294746,0.030372247450686063,0.03240596971606355,0.08981382060886232,Heart_face_shape
132.26,109.84,156.8,1.76,2.39,2.98,1.41,0.58,0.59,0.13332051020579078,0.09464031695522457,0.07594548431899674,0.2262402704575793,0.14167257413977738,0.1195904334662452,0.07680931139362969,0.13178109906275634,0.028555836418130982,0.03154070971196835,0.030360562006359348,0.08615943954604792,Heart_face_shape
119.62,91.86,154.94,1.91,2.49,3.35,1.42,0.56,0.57,0.13396757244457494,0.09449828435434521,0.07024994564301343,0.23542434025447118,0.14031172315267268,0.11937100018749641,0.07445551398610584,0.13172161997732043,0.026793514488914986,0.027745651641160732,0.029650377798123958,0.10842903163897472,Heart_face_shape
116.06,89.86,143.28,1.83,2.4,2.95,1.49,0.59,0.62,0.13841965179666935,0.0929776276593799,0.07561015439575408,0.22324984280993077,0.14003825335525605,0.12046798091322769,0.07735686288459942,0.13187962618518267,0.026944346657579554,0.026774784931643075,0.03202983739717988,0.0866133072172671,Heart_face_shape
