chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,face_shape
130.92,103.74,143.5,1.84,1.94,2.6,1.37,0.71,0.71,0.1387697154596412,0.10144027567271702,0.07558813521979854,0.1965885867621627,0.1493117934686295,0.1262283041521916,0.07213045951553806,0.02948302605964019,0.03548885832029009,0.027604715554874027,0.04736612981451705,Heart_face_shape
138.3,113.58,141.26,1.83,1.89,2.49,1.39,0.75,0.73,0.14082323926758028,0.10136415493275028,0.07697874620321755,0.19180150809364416,0.15052306425892886,0.1290604678577865,0.07214699483448432,0.029697775058301335,0.027700662769633632,0.029221309257297982,0.05068207746637514,Heart_face_shape
132.36,105.86,131.8,1.77,1.93,2.45,1.4,0.74,0.72,0.13965829724719225,0.09987157510703672,0.07895661931287264,0.19319178149131308,0.151199056761379,0.12879367562786664,0.07373118956537775,0.029579472294082334,0.02473652077838499,0.028931912641042508,0.05134989917345211,Heart_face_shape
132.48,106.52,132.68,1.77,1.87,2.46,1.35,0.73,0.72,0.13854995914147994,0.10290903221613043,0.07813434640699114,0.192581110138496,0.1500079556860978,0.12713934830981993,0.07180125376299946,0.03091651089523713,0.033870428524549086,0.02515330545837561,0.048936749459823306,Heart_face_shape
126.86,95.96,130.34,1.7,2.11,2.67,1.35,0.64,0.64,0.13390603954291191,0.09937608517321375,0.07854138621316388,0.20976034126991408,0.14387305187327562,0.12077988445928793,0.07049239387528712,0.02991944036233197,0.034668546964656634,0.02484234190564523,0.05384048836031186,Heart_face_shape
132.24,105.94,122.9,1.71,1.95,2.47,1.35,0.71,0.69,0.1369941367268489,0.10131505868341584,0.07998743633369557,0.19735431018055227,0.14839095189069818,0.12411550586145662,0.07059550328285612,0.030148563849055142,0.029208780055881605,0.030017672215655367,0.05187208091988447,Heart_face_shape
147.76,120.52,131.34,1.74,1.89,2.47,1.33,0.69,0.7,0.1395195688807531,0.10465409864747735,0.08030948534721286,0.19808376928248805,0.14605985674378394,0.12164998342762896,0.06883717385557657,0.03210760270935911,0.030936358611296275,0.025781559462235815,0.05206054303218808,Heart_face_shape
130.3,102.66,128.92,1.8,1.97,2.58,1.37,0.69,0.7,0.13941934049280907,0.10156630700506106,0.07748770229248374,0.20023225145830142,0.14727074527787876,0.12336441943178122,0.07085046850625108,0.03064907139568791,0.029870605561417973,0.026112857719625245,0.053176230858702635,Heart_face_shape
128.18,105.4,143.46,1.67,2.11,2.56,1.37,0.68,0.65,0.13402269437483344,0.09753139388015883,0.08042860404807117,0.20598858194547956,0.15087818491868826,0.12516882004095828,0.0691659918585174,0.029336370033967035,0.0335876613336136,0.023740933720152638,0.05015076384555989,Heart_face_shape
147.86,122.74,144.78,1.79,1.91,2.58,1.33,0.7,0.7,0.13811455855733087,0.10372662012085847,0.07697490994660833,0.1983418507194684,0.14750864528999677,0.12371144698013263,0.06997507086612455,0.03021788197896164,0.03382502100286359,0.02873518011183208,0.0488688144258227,Heart_face_shape
